question,answer
What are your business hours?,"Our business hours are Monday to Friday, 9 AM to 5 PM."
How do I reset my password?,"You can reset your password by clicking 'Forgot Password' on the login page."
What is your refund policy?,"Refunds are available within 30 days of purchase with a receipt."
Do you offer customer support?,"Yes, we offer customer support via email and phone from 9 AM to 6 PM."
Where are you located?,"We are located at 123 Main Street, Springfield."
How can I contact support?,"You can contact us via email at support@example.com or call (123) 456-7890."
Do you offer international shipping?,"Yes, we ship to USA, Canada, and UK."
How can I track my order?,"You can track your order by logging into your account and checking 'My Orders'."
What payment methods do you accept?,"We accept credit cards, debit cards, PayPal, and bank transfers."
Do you have a mobile app?,"Yes, our mobile app is available on both iOS and Android platforms."
